,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,lat,long,PopulationAffected,Cases Recovered,Cases Active,Mortality Rate
60,Moldova,965,0,21.0,2.0,37.0,907,80.0,239.0,5.0,0,0,4034000.0,47.411631,28.369884999999996,0.023921665840356966,3.83419689119171,93.98963730569947,2.1761658031088085
61,Hong Kong,915,0,4.0,0,216.0,695,12.0,122.0,0.5,96709.0,12900.0,7497000.0,22.396428,114.10949699999999,0.012204881952781113,23.60655737704918,75.95628415300546,0.4371584699453552
62,Lithuania,880,+37,15.0,0,8.0,857,11.0,323.0,6.0,27807.0,10215.0,2722000.0,55.169438,23.881275,0.03232916972814107,0.9090909090909091,97.38636363636364,1.7045454545454544
63,Armenia,853,+20,8.0,0,87.0,758,30.0,288.0,3.0,5140.0,1735.0,2963000.0,40.069099,45.038189,0.02878839014512319,10.199296600234467,88.862837045721,0.9378663540445485
64,Hungary,817,+73,47.0,9.0,71.0,699,17.0,85.0,5.0,23746.0,2458.0,9660000.0,47.162494,19.503304,0.008457556935817807,8.69033047735618,85.55691554467563,5.752753977968176
65,Bahrain,756,0,4.0,0,458.0,294,4.0,444.0,2.0,47684.0,28023.0,1702000.0,25.930414000000003,50.637772,0.04441833137485311,60.58201058201058,38.88888888888889,0.5291005291005291
66,Bosnia and Herzegovina,740,+66,30.0,1.0,68.0,642,4.0,226.0,9.0,5934.0,1809.0,3281000.0,43.915886,17.679076000000002,0.022554099359951233,9.18918918918919,86.75675675675676,4.054054054054054
67,Belarus,700,0,13.0,0,53.0,634,11.0,74.0,1.0,40000.0,4233.0,9449000.0,53.709807,27.953389,0.00740819134299926,7.571428571428572,90.57142857142857,1.8571428571428572
68,Kazakhstan,670,+8,6.0,0,47.0,617,16.0,36.0,0.3,5093.0,271.0,18777000.0,48.019573,66.923684,0.0035681951323427597,7.014925373134329,92.08955223880596,0.8955223880597015
69,Kuwait,665,0,1.0,0,105.0,559,20.0,156.0,0.2,0,0,4271000.0,29.311659999999996,47.481766,0.015570124092718332,15.789473684210526,84.06015037593984,0.15037593984962408
70,Cameroon,658,0,9.0,0,17.0,632,0,25.0,0.3,0,0,26546000.0,7.369722,12.354722,0.0024787161907632036,2.5835866261398177,96.04863221884499,1.3677811550151975
71,Azerbaijan,641,0,7.0,0,44.0,590,11.0,63.0,0.7,45000.0,4438.0,10139000.0,40.143105,47.576927000000005,0.006322122497287701,6.86427457098284,92.04368174726989,1.0920436817472698
72,Tunisia,596,0,22.0,0,5.0,569,39.0,50.0,2.0,7725.0,654.0,11819000.0,33.886917,9.537499,0.005042727811151535,0.8389261744966443,95.46979865771812,3.691275167785235
73,North Macedonia,570,0,23.0,0,30.0,517,15.0,274.0,11.0,5291.0,2540.0,2083000.0,41.608635,21.745275,0.027364378300528083,5.263157894736842,90.70175438596492,4.035087719298246
74,Bulgaria,565,+16,22.0,0,42.0,501,26.0,81.0,3.0,15899.0,2288.0,6948000.0,42.733883,25.48583,0.008131836499712147,7.433628318584071,88.67256637168141,3.893805309734513
75,Latvia,542,0,1.0,0,16.0,525,5.0,287.0,0.5,21453.0,11374.0,1886000.0,56.879635,24.603189,0.028738069989395546,2.952029520295203,96.86346863468634,0.18450184501845018
76,Lebanon,541,0,19.0,0,60.0,462,27.0,79.0,3.0,9653.0,1414.0,6825000.0,33.854721000000005,35.862285,0.007926739926739926,11.090573012939002,85.39741219963032,3.512014787430684
77,Slovakia,534,0,2.0,0,8.0,524,3.0,98.0,0.4,16191.0,2966.0,5460000.0,48.669026,19.699023999999998,0.00978021978021978,1.4981273408239701,98.12734082397003,0.37453183520599254
78,Andorra,525,0,21.0,0,31.0,473,12.0,6795.0,272.0,0,0,77000.0,42.546245,1.6015540000000001,0.6818181818181818,5.904761904761905,90.0952380952381,4.0
79,Costa Rica,467,0,2.0,0,18.0,447,14.0,92.0,0.4,5363.0,1053.0,5094000.0,9.748917,-83.753428,0.009167648213584609,3.854389721627409,95.71734475374733,0.4282655246252677
80,Cyprus,465,0,9.0,0,45.0,411,11.0,385.0,7.0,11664.0,9661.0,1207000.0,35.126413,33.429859,0.03852526926263463,9.67741935483871,88.38709677419355,1.935483870967742
81,Afghanistan,423,+56,11.0,0,18.0,394,0,11.0,0.3,0,0,38928000.0,33.93911,67.709953,0.0010866214549938348,4.25531914893617,93.14420803782507,2.6004728132387704
82,Uruguay,415,0,6.0,0,123.0,286,14.0,119.0,2.0,5385.0,1550.0,3474000.0,-32.522779,-55.765834999999996,0.011945883707541738,29.63855421686747,68.9156626506024,1.4457831325301205
83,Albania,377,0,21.0,0,116.0,240,7.0,131.0,7.0,2571.0,893.0,2878000.0,41.153332,20.168331,0.013099374565670605,30.76923076923077,63.660477453580896,5.570291777188329
84,Taiwan,376,+3,5.0,0,61.0,310,0,16.0,0.2,39011.0,1638.0,23817000.0,23.69781,120.96051499999999,0.0015787042868539278,16.22340425531915,82.4468085106383,1.3297872340425532
85,Oman,371,+40,2.0,0,67.0,302,3.0,73.0,0.4,0,0,5107000.0,21.512583,55.923255000000005,0.0072645388682200905,18.059299191374663,81.40161725067385,0.5390835579514826
86,Burkina Faso,364,0,18.0,0,108.0,238,0,17.0,0.9,0,0,20903000.0,12.238333,-1.561593,0.0017413768358608812,29.67032967032967,65.38461538461539,4.945054945054945
87,Cuba,363,+13,9.0,0,18.0,336,12.0,32.0,0.8,5234.0,462.0,11327000.0,21.521757,-77.78116700000001,0.0032047320561490243,4.958677685950414,92.56198347107438,2.479338842975207
88,Jordan,349,0,6.0,0,126.0,217,5.0,34.0,0.6,17000.0,1666.0,10203000.0,30.585164000000002,36.238414,0.0034205625796334413,36.10315186246418,62.17765042979943,1.7191977077363898
89,Réunion,349,0,0.0,0,40.0,309,4.0,390.0,0,0,0,895000.0,-21.115141,55.536384,0.03899441340782123,11.461318051575931,88.53868194842407,0.0
90,Channel Islands,323,0,7.0,0,27.0,289,0,1858.0,40.0,1157.0,6655.0,174000.0,33.998028000000005,-119.772949,0.18563218390804598,8.359133126934983,89.47368421052632,2.1671826625387
91,Ivory Coast,323,0,3.0,0,41.0,279,0,12.0,0.1,0,0,26378000.0,7.539989,-5.54708,0.001224505269542801,12.693498452012383,86.37770897832817,0.9287925696594427
